pwr_out,irdnc,temp,prsure,hmdty,wnd_spd,wnd_deg,rain_1h,clouds
0.0,0.0,20.62,1012,100,6,270,0.0,75
0.0,0.0,19.75,1013,73,4,260,0.0,75
0.0,0.0,18.28,1014,82,3,250,0.0,20
0.0,0.0,18.0,1014,88,2,240,0.0,90
0.0,0.0,17.34,1015,88,3,230,0.0,75
0.0,0.0,17.01,1015,82,2,250,0.0,90
0.67,50.66,17.0,1015,93,3,250,0.0,75
2.37,389.57,17.0,1016,88,3,260,0.0,90
6.08,571.02,16.0,1016,87,4,280,0.0,40
8.29,700.02,15.99,1017,82,3,310,0.3,90
4.07,381.98,15.18,1018,82,3,270,0.0,75
4.19,371.37,14.44,1019,87,4,290,0.0,75
2.62,241.64,14.0,1019,82,5,300,0.0,75
1.91,175.91,14.72,1020,82,5,290,0.0,90
1.51,132.47,14.82,1020,63,8,260,0.0,40
0.3,31.47,15.73,1021,63,5,300,0.0,40
0.0,0.0,15.32,1021,71,6,280,0.0,90
0.0,0.0,14.46,1020,67,6,290,0.0,90
0.0,0.0,14.03,1020,62,6,300,0.0,90
0.0,0.0,12.56,1021,66,5,290,0.0,90
0.0,0.0,12.0,1022,71,4,340,0.0,90
0.0,0.0,10.5,1024,71,3,310,0.0,90
0.0,0.0,9.13,1025,76,4,320,0.0,40
0.0,0.0,8.84,1026,76,2,310,0.0,75
0.0,0.0,8.7,1027,76,4,320,0.0,90
0.0,0.0,8.26,1026,93,4,340,0.0,90
0.0,0.0,7.71,1027,65,6,350,0.0,90
0.0,0.0,7.0,1027,65,5,350,0.0,90
0.51,120.69,6.83,1027,70,4,350,0.0,90
2.44,271.81,5.71,1026,75,4,360,0.0,1
6.48,580.52,4.99,1026,70,3,350,0.0,1
8.2,739.32,4.85,1026,75,4,340,0.0,1
8.85,824.87,4.43,1027,75,3,350,0.0,1
8.85,838.02,4.38,1028,80,3,330,0.0,1
7.96,789.35,4.15,1028,80,2,350,0.0,1
7.22,698.84,6.38,1028,75,3,10,0.0,1
3.86,415.23,9.01,1029,70,4,350,0.0,1
1.34,194.05,11.26,1029,62,4,20,0.0,1
0.0,0.0,13.38,1028,58,4,340,0.0,1
0.0,0.0,15.28,1026,54,5,360,0.0,1
0.0,0.0,15.58,1026,67,10,360,0.0,40
0.0,0.0,14.75,1027,62,6,30,0.0,90
0.0,0.0,13.39,1026,66,7,10,0.0,90
0.0,0.0,11.37,1026,76,7,360,0.0,75
0.0,0.0,10.9,1028,76,5,350,0.0,90
0.0,0.0,10.15,1027,81,8,350,0.0,40
0.0,0.0,9.0,1028,81,6,350,0.0,40
0.0,0.0,8.68,1028,81,6,350,0.0,75
0.0,0.0,8.32,1027,81,5,350,0.0,75
0.0,0.0,8.16,1027,81,4,340,0.0,40
0.59,101.27,8.18,1027,81,6,350,0.0,75
2.15,244.29,8.0,1027,81,6,340,0.0,75
6.33,558.99,8.0,1027,81,4,340,0.0,75
8.63,790.37,8.43,1027,76,5,360,0.0,90
8.69,805.66,7.7,1027,93,7,310,0.0,5
8.75,815.95,7.72,1027,81,3,350,0.0,1
8.07,757.19,8.98,1028,93,5,310,0.0,5
6.6,618.48,10.27,1028,76,5,350,0.0,1
3.88,411.19,12.71,1029,66,6,10,0.0,1
0.93,171.29,14.75,1029,58,6,360,0.0,20
0.0,0.0,16.63,1029,55,6,20,0.0,40
0.0,0.0,17.56,1026,42,6,30,0.0,1
0.0,0.0,17.37,1026,45,7,30,0.0,1
0.0,0.0,16.78,1027,50,5,30,0.0,1
0.0,0.0,15.25,1027,54,5,30,0.0,1
0.0,0.0,12.01,1028,66,6,20,0.0,1
0.0,0.0,10.73,1028,71,5,20,0.0,40
0.0,0.0,10.02,1029,76,4,360,0.0,1
0.0,0.0,8.67,1029,81,3,10,0.0,1
0.0,0.0,8.16,1028,81,3,360,0.0,1
0.0,0.0,7.82,1028,81,5,10,0.0,1
0.0,0.0,7.82,1028,87,3,10,0.0,1
0.57,125.85,7.82,1027,87,3,360,0.0,1
2.85,348.09,7.82,1027,87,1,330,0.0,75
6.28,560.1,8.58,1027,93,2,340,0.0,75
7.59,711.93,8.43,1027,87,1,350,0.0,1
4.67,327.43,8.72,1027,93,2,340,0.0,1
8.66,787.48,9.01,1028,93,2,330,0.0,5
5.19,294.19,8.99,1028,93,2,360,0.0,1
6.33,551.59,12.01,1029,81,3,30,0.0,1
3.88,417.99,16.44,1029,63,3,350,0.0,1
0.57,60.98,18.13,1029,55,2,30,0.0,1
0.0,0.0,20.12,1028,52,3,30,0.0,1
0.0,0.0,21.57,1026,40,2,350,0.0,75
0.0,0.0,21.56,1025,38,3,70,0.0,20
0.0,0.0,20.71,1025,40,3,40,0.0,75
0.0,0.0,18.99,1025,49,3,50,0.0,40
0.0,0.0,15.36,1026,72,3,40,0.0,1
0.0,0.0,13.85,1026,77,3,30,0.0,1
0.0,0.0,13.13,1026,87,2,30,0.0,1
0.0,0.0,12.17,1026,87,2,33,0.0,1
0.0,0.0,12.0,1026,93,2,10,0.0,1
0.0,0.0,11.43,1025,93,2,20,0.0,1
0.0,0.0,10.99,1025,93,2,350,0.0,1
0.56,130.24,10.71,1024,93,2,360,0.0,1
3.7,386.73,10.28,1024,93,2,350,0.0,1
6.26,560.26,10.0,1024,93,2,10,0.0,1
7.46,544.14,9.59,1024,100,1,341,0.0,1
8.51,806.25,9.3,1025,100,1,341,0.0,1
8.6,825.64,9.25,1024,93,2,310,0.0,1
